SBD,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,KHTN,Lịch sử,Địa lý,GDCD,KHXH
52001195,8.40,6.50,7.40,6.75,8.00,4.75,6.50,,,,
52001196,8.40,7.75,9.20,8.00,8.00,7.00,7.66,,,,
52001197,8.20,6.50,8.80,6.50,7.50,5.00,6.33,,,,
52001198,7.40,8.25,8.60,,,,,7.50,5.75,7.50,6.91
52001199,7.00,8.75,9.20,,,,,8.00,8.00,9.75,8.58
52001200,7.20,8.50,8.80,5.75,5.50,3.50,4.91,,,,
52001201,9.00,8.75,9.60,8.00,7.75,6.75,7.50,,,,
52001202,7.00,7.50,9.00,4.25,5.25,5.00,4.83,,,,
52001203,6.80,8.25,6.80,,,,,3.25,7.75,8.25,6.41
52001204,8.20,8.25,9.20,7.00,6.00,5.50,6.16,,,,
52001205,7.60,8.50,9.00,,,,,4.00,6.75,8.00,6.25
52001206,7.40,7.25,9.00,4.75,4.00,5.75,4.83,,,,
52001207,8.80,7.50,9.40,,,,,6.75,8.50,9.25,8.16
52001208,7.20,7.50,8.80,,,,,7.00,7.75,9.25,8.00
52001209,8.20,7.25,9.80,7.75,8.50,5.50,7.25,,,,
52001210,8.20,8.25,10.00,,,,,7.50,7.00,10.00,8.16
52001211,9.00,8.00,9.00,,,,,7.75,8.50,9.75,8.66
52001212,8.00,4.75,9.20,6.50,6.75,5.50,6.25,,,,
52001213,7.20,7.75,8.40,,,,,7.00,7.00,8.50,7.50
52001214,7.80,8.25,,7.75,8.75,7.75,8.08,,,,
52001215,9.00,7.75,9.60,,,,,8.00,8.00,8.25,8.08
52001216,8.20,8.50,9.00,6.75,6.50,5.50,6.25,,,,
52001217,7.20,8.50,7.80,,,,,5.25,8.25,9.50,7.66
52001218,8.00,7.50,9.20,5.50,8.50,6.50,6.83,,,,
52001219,8.60,8.75,9.00,,,,,6.50,7.50,9.50,7.83
52001220,8.80,9.00,10.00,,,,,7.50,9.50,9.50,8.83
52001221,8.20,7.75,9.20,6.50,7.75,6.25,6.83,,,,
52001222,7.80,8.25,,3.75,8.50,7.50,6.58,,,,
52001223,8.00,7.75,9.20,7.75,7.00,4.75,6.50,,,,
52001224,8.60,8.50,9.00,6.50,9.25,9.50,8.41,,,,
52001225,8.20,8.00,9.20,,,,,2.50,6.25,9.50,6.08
52001226,9.20,9.00,9.40,,,,,6.50,7.50,9.00,7.66
52001227,8.20,7.50,9.20,6.25,8.00,7.00,7.08,,,,
52001228,8.60,7.75,9.20,8.00,8.75,6.25,7.66,,,,
52001229,9.00,7.50,9.80,7.75,8.50,7.50,7.91,,,,
52001230,7.00,8.25,6.60,,,,,4.75,7.00,8.75,6.83
52001231,8.20,8.75,8.60,,,,,7.25,8.25,9.75,8.41
52001232,7.00,9.00,8.60,,,,,5.00,7.75,8.50,7.08
52001233,7.60,7.46,7.80,7.25,7.75,6.25,7.08,,,,
52001234,8.40,8.75,9.00,7.50,8.50,5.25,7.08,,,,
52001235,7.80,8.25,9.60,4.50,7.25,5.75,5.83,,,,
52001236,6.80,8.00,8.40,,,,,5.75,7.25,9.00,7.33
52001237,7.20,8.50,9.60,5.50,5.50,3.75,4.91,,,,
52001238,6.80,8.00,7.60,6.00,6.75,8.00,6.91,,,,
52001239,8.20,7.75,7.80,7.25,7.75,4.75,6.58,,,,
52001240,7.40,6.25,7.00,4.00,5.75,4.25,4.66,,,,
52001241,8.20,7.50,8.80,6.75,7.50,5.75,6.66,,,,
52001242,8.00,7.00,9.40,6.00,6.00,5.25,5.75,,,,
52001243,7.60,7.00,8.40,7.75,6.00,5.00,6.25,,,,
52001244,7.40,7.50,9.40,,,,,4.50,6.75,9.75,7.00
52001245,8.60,7.00,8.20,7.50,7.75,6.25,7.16,,,,
52001246,8.40,6.50,7.80,7.25,6.75,5.50,6.50,,,,
52001247,7.00,7.25,8.80,4.75,6.25,5.00,5.33,,,,
52001248,7.80,7.75,8.80,7.75,6.75,5.00,6.50,,,,
52001249,7.40,8.25,8.60,6.50,7.25,5.50,6.41,,,,
52001250,8.20,7.50,8.80,5.25,5.25,6.50,5.66,,,,
52001251,6.80,6.75,5.20,,,,,4.50,5.75,6.50,5.58
52001252,9.20,8.25,9.40,,,,,7.75,8.25,9.75,8.58
52001253,7.40,8.25,8.00,5.25,8.00,7.00,6.75,,,,
52001254,8.00,7.00,9.00,6.50,4.75,5.00,5.41,,,,
52001255,8.20,7.75,8.60,6.25,8.25,6.00,6.83,,,,
52001256,7.60,8.00,9.20,7.25,8.00,6.25,7.16,,,,
52001257,8.20,7.25,7.00,6.00,7.75,7.75,7.16,,,,
52001258,7.60,8.00,6.80,4.25,5.75,8.00,6.00,,,,
52001259,8.20,7.50,8.80,,,,,6.25,7.00,8.25,7.16
52001260,8.60,8.25,8.60,7.25,7.75,4.25,6.41,,,,
52001261,9.00,4.50,7.00,8.25,8.50,3.75,6.83,,,,
52001262,8.20,7.25,8.40,7.00,5.75,5.50,6.08,,,,
52001263,5.40,6.75,4.60,,,,,4.25,7.50,9.75,7.16
52001264,8.20,7.50,9.40,8.00,8.25,7.75,8.00,,,,
52001265,6.60,7.50,7.40,4.00,5.50,4.50,4.66,,,,
52001266,5.00,7.25,4.80,,,,,4.75,8.00,9.75,7.50
52001267,8.20,8.75,8.00,7.25,8.25,5.75,7.08,,,,
52001268,8.80,8.25,9.80,8.00,8.00,7.25,7.75,,,,
52001269,8.80,7.75,9.00,8.00,8.25,4.75,7.00,,,,
52001270,7.60,7.50,9.80,7.50,7.00,5.50,6.66,,,,
52001271,7.60,8.50,9.00,7.50,6.75,6.00,6.75,,,,
52001272,8.80,6.00,9.60,6.50,6.25,3.25,5.33,,,,
52001273,8.40,6.25,6.80,8.50,9.25,4.50,7.41,,,,
52001274,8.40,7.00,8.20,7.25,5.25,6.00,6.16,,,,
52001275,9.20,7.50,8.80,7.50,6.00,5.00,6.16,,,,
52001276,8.20,7.75,9.40,7.50,6.75,7.00,7.08,,,,
52001277,7.40,7.50,9.00,6.75,6.75,5.25,6.25,,,,
52001278,8.60,7.50,8.80,6.00,8.00,5.50,6.50,,,,
52001279,8.40,7.75,9.20,8.25,7.00,6.25,7.16,,,,
52001280,7.60,6.75,9.60,8.50,8.50,8.25,8.41,,,,
52001281,8.20,7.75,8.40,,,,,7.50,6.75,9.25,7.83
52001282,8.40,7.25,8.60,7.50,8.50,6.25,7.41,,,,
52001283,8.40,8.00,7.00,,,,,5.50,8.50,9.25,7.75
52001284,8.40,7.50,9.60,7.75,7.50,6.50,7.25,,,,
52001285,8.00,7.75,9.00,4.50,4.75,5.00,4.75,,,,
52001286,8.00,8.50,9.00,,,,,6.75,8.75,9.00,8.16
52001287,8.00,8.00,9.00,,,,,3.75,7.00,9.00,6.58
52001288,7.60,7.75,8.60,6.25,7.25,5.75,6.41,,,,
52001289,7.80,7.00,6.80,6.00,5.50,7.00,6.16,,,,
52001290,7.60,7.25,9.40,,,,,6.50,8.75,10.00,8.41
52001291,7.20,7.25,8.20,6.75,5.50,6.00,6.08,,,,
52001292,7.20,8.00,7.60,,,,,7.25,7.75,9.25,8.08
52001293,9.00,4.50,7.80,8.75,7.50,5.50,7.25,,,,
52001294,8.60,4.50,,6.50,6.25,4.00,5.58,,,,
